device_id,customer_id,device_type,app_version,is_rooted,last_active
dev100000,cust100000,android,2.5.4,0,24:58.0
dev100001,cust100001,feature_phone,2.6.18,0,53:08.8
dev100002,cust100002,android,2.5.0,0,09:53.2
dev100003,cust100003,android,2.4.12,0,10:51.6
dev100004,cust100004,feature_phone,4.2.0,0,18:05.2
dev100005,cust100005,tablet,3.9.11,0,06:33.7
dev100006,cust100006,feature_phone,4.1.16,0,18:02.0
dev100007,cust100007,android,3.0.19,0,07:59.6
dev100008,cust100008,ios,4.8.7,0,08:32.2
dev100009,cust100009,android,4.6.14,0,41:04.7
dev100010,cust100010,android,3.8.2,1,21:34.9
dev100011,cust100011,ios,3.5.0,0,50:06.8
dev100012,cust100012,feature_phone,1.8.0,0,57:52.6
dev100013,cust100013,tablet,2.4.5,0,47:28.1
dev100014,cust100014,tablet,2.0.15,0,37:03.8
dev100015,cust100015,feature_phone,1.9.1,0,42:26.9
dev100016,cust100016,feature_phone,3.1.8,0,11:11.1
dev100017,cust100017,android,1.2.10,0,35:34.6
dev100018,cust100018,ios,4.6.19,0,13:33.6
dev100019,cust100019,tablet,1.1.0,0,41:39.7
dev100020,cust100020,ios,3.9.10,0,42:30.3
dev100021,cust100021,ios,4.4.10,0,15:18.4
dev100022,cust100022,ios,1.2.6,0,17:56.2
dev100023,cust100023,ios,3.7.0,0,56:57.2
dev100024,cust100024,android,3.3.11,0,58:22.1
dev100025,cust100025,feature_phone,4.6.13,0,15:00.3
dev100026,cust100026,android,2.5.16,0,14:55.1
dev100027,cust100027,tablet,1.3.15,0,23:14.5
dev100028,cust100028,ios,1.5.3,0,09:22.0
dev100029,cust100029,ios,3.8.10,0,58:21.1
dev100030,cust100030,feature_phone,3.1.16,0,44:47.4
dev100031,cust100031,android,3.7.0,0,35:34.3
dev100032,cust100032,ios,1.6.5,0,10:14.6
dev100033,cust100033,android,3.7.3,0,07:23.6
dev100034,cust100034,feature_phone,1.4.9,0,57:42.5
dev100035,cust100035,ios,1.7.7,0,13:55.2
dev100036,cust100036,ios,4.3.6,0,26:07.9
dev100037,cust100037,android,4.2.17,0,08:09.3
dev100038,cust100038,ios,1.2.3,0,56:44.0
dev100039,cust100039,feature_phone,3.8.3,0,35:39.5
dev100040,cust100040,feature_phone,3.1.10,0,40:15.0
dev100041,cust100041,android,3.1.8,0,07:40.5
dev100042,cust100042,ios,2.9.2,0,35:20.5
dev100043,cust100043,tablet,2.5.13,0,54:21.6
dev100044,cust100044,android,3.0.8,0,04:48.6
dev100045,cust100045,android,2.8.20,0,53:28.4
dev100046,cust100046,android,4.0.3,0,05:45.6
dev100047,cust100047,feature_phone,3.6.10,0,11:48.2
dev100048,cust100048,android,2.7.8,0,37:55.3
dev100049,cust100049,android,2.1.3,0,19:21.7
dev100050,cust100050,android,2.2.17,0,02:08.6
dev100051,cust100051,android,2.1.0,0,41:04.6
dev100052,cust100052,ios,1.4.20,0,57:14.9
dev100053,cust100053,ios,1.1.2,0,44:16.9
dev100054,cust100054,tablet,2.1.9,0,23:34.6
dev100055,cust100055,android,2.6.7,0,30:14.9
dev100056,cust100056,android,4.1.13,0,00:46.7
dev100057,cust100057,android,2.5.7,0,55:22.3
dev100058,cust100058,ios,2.9.19,0,28:11.9
dev100059,cust100059,ios,4.9.9,0,04:39.5
dev100060,cust100060,feature_phone,3.1.16,0,26:52.2
dev100061,cust100061,ios,4.7.6,0,09:07.9
dev100062,cust100062,feature_phone,4.3.17,0,01:01.0
dev100063,cust100063,android,3.7.16,0,34:09.3
dev100064,cust100064,tablet,2.8.1,0,18:33.5
dev100065,cust100065,tablet,4.5.9,0,34:51.3
dev100066,cust100066,tablet,2.1.11,0,10:56.4
dev100067,cust100067,ios,1.2.9,0,03:46.1
dev100068,cust100068,android,3.5.0,0,49:38.7
dev100069,cust100069,tablet,1.6.8,0,25:34.8
dev100070,cust100070,ios,3.7.1,0,49:27.7
dev100071,cust100071,feature_phone,1.0.17,0,57:14.6
dev100072,cust100072,tablet,1.3.16,0,24:25.2
dev100073,cust100073,android,3.9.12,0,36:29.4
dev100074,cust100074,android,2.3.18,1,01:38.6
dev100075,cust100075,tablet,2.2.3,0,23:48.0
dev100076,cust100076,tablet,2.5.0,0,17:43.4
dev100077,cust100077,tablet,1.1.10,0,50:14.6
dev100078,cust100078,tablet,1.3.16,0,42:44.9
dev100079,cust100079,tablet,2.3.13,0,59:24.3
dev100080,cust100080,feature_phone,2.6.15,0,27:06.3
dev100081,cust100081,ios,1.5.5,0,40:01.8
dev100082,cust100082,ios,2.4.17,0,50:54.1
dev100083,cust100083,tablet,4.4.2,0,18:24.4
dev100084,cust100084,ios,2.1.20,0,40:31.4
dev100085,cust100085,tablet,4.7.8,0,40:53.0
dev100086,cust100086,ios,3.8.2,0,12:22.8
dev100087,cust100087,feature_phone,1.7.4,0,37:10.1
dev100088,cust100088,android,1.3.13,0,36:55.1
dev100089,cust100089,tablet,4.9.1,0,37:10.0
dev100090,cust100090,feature_phone,4.7.7,0,22:45.5
dev100091,cust100091,ios,3.4.9,0,02:30.9
dev100092,cust100092,tablet,2.3.13,0,31:52.2
dev100093,cust100093,tablet,4.3.13,0,02:27.8
dev100094,cust100094,android,3.9.0,0,30:21.4
dev100095,cust100095,ios,3.2.16,0,49:36.3
dev100096,cust100096,android,3.0.11,0,45:21.2
dev100097,cust100097,ios,4.6.13,0,50:32.4
