alert_id,transaction_id,alert_type,alert_date,resolved,resolution_date,remarks
alert134117,txn10034117,frequent_failure,29:59.0,0,,Strategy forward the risk necessary company ready.
alert183925,txn10083925,frequent_failure,41:15.2,1,41:15.2,Art do federal short.
alert163439,txn10063439,unusual_time,23:55.9,1,23:55.9,Age board fine participant join.
alert164967,txn10064967,frequent_failure,50:16.9,1,50:16.9,Among doctor much physical interest catch.
alert159661,txn10059661,frequent_failure,59:36.2,1,59:36.2,Would catch themselves be represent why decade.
alert180006,txn10080006,unusual_amount,01:59.4,1,01:59.4,Democrat class ago such story cold environmental tax.
alert130778,txn10030778,unusual_amount,53:05.7,1,06:42.0,Anyone onto style science then Republican black myself.
alert122322,txn10022322,unusual_amount,00:55.2,1,00:55.2,Write anyone capital national.
alert155954,txn10055954,unusual_amount,15:11.0,0,,Realize mention grow several season husband their.
alert140444,txn10040444,suspicious_login,05:01.9,0,,Everybody team effect purpose series imagine name.
alert173510,txn10073510,suspicious_login,07:29.8,1,07:29.8,Price front summer score artist defense.
alert172416,txn10072416,unusual_time,16:19.7,1,16:19.7,Score may reality compare almost impact college address.
alert182690,txn10082690,unusual_time,04:17.8,1,04:17.8,Attention final model ability simple response stock.
alert156982,txn10056982,frequent_failure,28:12.7,1,28:12.7,Break report fear for officer.
alert121922,txn10021922,unusual_time,36:47.5,1,36:47.5,Century class enjoy.
alert190191,txn10090191,suspicious_login,10:06.6,1,10:06.6,Represent happen child allow nice member along.
alert132693,txn10032693,suspicious_login,21:06.3,1,21:06.3,Believe western head democratic mission she daughter.
alert162262,txn10062262,unusual_time,00:02.2,1,00:02.2,Pay 1 for contain.
alert143058,txn10043058,suspicious_login,08:29.0,0,,Official billion sign prepare them while stop.
alert172962,txn10072962,frequent_failure,49:33.2,0,,I computer mention lay area under its.
alert111288,txn10011288,frequent_failure,21:44.3,0,,Including have accept until.
alert190757,txn10090757,frequent_failure,13:55.0,1,13:55.0,Specific case his increase lose.
alert195992,txn10095992,suspicious_login,44:15.7,1,44:15.7,Source detail never figure interesting information.
alert144016,txn10044016,unusual_time,47:05.9,0,,Benefit respond head.
alert131558,txn10031558,unusual_time,16:55.7,1,16:55.7,Sometimes maybe just return.
alert118287,txn10018287,unusual_time,10:45.7,1,10:45.7,Us argue left east partner money.
alert197713,txn10097713,suspicious_login,29:57.4,1,29:57.4,Several ok scientist meeting.
alert117919,txn10017919,suspicious_login,58:56.1,1,58:56.1,Society level house him nice money catch whose.
alert128056,txn10028056,unusual_time,18:43.8,1,18:43.8,Return hundred official up education participant always speak.
alert113524,txn10013524,suspicious_login,55:47.3,1,55:47.3,Type sound special.
alert198754,txn10098754,suspicious_login,18:11.3,0,,Benefit student country how feel simply lot.
alert143678,txn10043678,frequent_failure,50:06.3,1,50:06.3,Pick own ten sign bag.
alert182558,txn10082558,suspicious_login,34:42.3,1,34:42.3,Least parent upon fire soldier sense.
alert136474,txn10036474,unusual_amount,52:06.7,1,52:06.7,Product boy hospital with.
alert128807,txn10028807,unusual_time,18:11.1,1,06:42.0,Keep door set across watch.
alert136007,txn10036007,frequent_failure,28:56.7,1,28:56.7,Other half place small although they.
alert129118,txn10029118,suspicious_login,35:40.5,1,35:40.5,Make experience history international knowledge simply whole.
alert103019,txn10003019,suspicious_login,37:56.1,0,,Anything wide bar tonight allow operation certainly.
alert143397,txn10043397,unusual_amount,07:45.8,0,,Time open half enter and customer rule.
alert185636,txn10085636,frequent_failure,59:33.9,1,59:33.9,Make well take music imagine.
alert109063,txn10009063,frequent_failure,21:26.1,1,21:26.1,Morning project soon would she happen respond.
alert113940,txn10013940,suspicious_login,05:21.2,1,05:21.2,Thus number state.
alert156319,txn10056319,suspicious_login,28:09.7,1,28:09.7,Lead stuff understand month.
alert151548,txn10051548,unusual_amount,38:19.9,1,38:19.9,Goal art kid near doctor step.
alert153063,txn10053063,unusual_amount,12:53.1,1,12:53.1,Another million heart young market course.
alert179535,txn10079535,frequent_failure,43:28.6,1,43:28.6,Thing think thus soldier.
alert134119,txn10034119,unusual_time,21:19.9,1,21:19.9,Week bring wear difficult cut much.
alert183960,txn10083960,suspicious_login,48:39.4,1,48:39.4,Theory factor local again practice focus.
alert194161,txn10094161,suspicious_login,01:12.3,1,01:12.3,Spring clear common peace.
alert190981,txn10090981,unusual_time,50:54.1,1,50:54.1,Simply else current hope.
alert187499,txn10087499,unusual_time,31:18.1,1,06:42.0,Talk voice camera sign to action.
alert170279,txn10070279,unusual_time,47:30.5,1,47:30.5,Machine various civil when so.
alert129641,txn10029641,unusual_time,56:09.5,1,56:09.5,Bag at owner affect none player.
alert109279,txn10009279,suspicious_login,26:49.0,0,,Worker trip recently much age method respond.
alert134892,txn10034892,unusual_amount,26:50.1,1,26:50.1,Center particular eight seek sure sea.
alert137894,txn10037894,suspicious_login,33:36.7,0,,Mention detail another movie test their yes sing.
alert134018,txn10034018,unusual_amount,50:35.1,1,50:35.1,Character space treatment owner many entire under detail.
alert145043,txn10045043,unusual_amount,57:01.8,1,57:01.8,Road management organization amount likely perform hard.
alert183445,txn10083445,suspicious_login,36:10.9,1,36:10.9,Require career mention anyone president.
alert153214,txn10053214,unusual_amount,12:17.3,1,12:17.3,Through money recent nothing save.
alert115224,txn10015224,unusual_time,12:08.0,1,12:08.0,Since professional need job part your.
alert106435,txn10006435,frequent_failure,31:24.4,1,31:24.4,Red matter answer be.
