transaction_id,upi_id,customer_id,timestamp,amount,transaction_type,merchant_id,counterparty_upi,status,device_id,device_type,channel,fraud_flag,reversal_flag,failure_reason,Customer_Check
txn10000000,marisa9078@upi,cust101488,36:19.6,9.88,send,,user6545@upi,success,dev101488,feature_phone,app,0,0,,cust101488
txn10000001,michelle5950@upi,cust107876,26:44.2,76.25,receive,,user3199@upi,success,dev107876,ios,app,0,0,,cust107876
txn10000002,jeffery4732@upi,cust100901,34:14.7,26.44,merchant_payment,merch1113,user4690@upi,success,dev100901,android,intent,0,0,,cust100901
txn10000003,troy1833@upi,cust105890,53:31.1,84.43,send,,user1982@upi,success,dev105890,tablet,qr_code,0,0,,cust105890
txn10000004,tammy4986@upi,cust106780,36:52.8,10.33,receive,,user4914@upi,success,dev106780,tablet,qr_code,0,0,,cust106780
txn10000005,michael9604@upi,cust102097,32:59.2,37.61,send,,user7131@upi,success,dev201416,ios,qr_code,0,0,,cust102097
txn10000006,stephanie3115@upi,cust108896,10:28.0,77.74,send,,user3421@upi,failed,dev108896,feature_phone,app,0,1,incorrect_pin,cust108896
txn10000007,savannah6574@upi,cust102418,36:34.9,47.46,receive,,user4029@upi,success,dev102418,tablet,intent,0,0,,cust102418
txn10000008,emily5320@upi,cust109937,12:13.4,19.94,merchant_payment,merch1140,user8134@upi,success,dev109937,android,qr_code,0,0,,cust109937
txn10000009,benjamin6424@upi,cust108084,50:08.9,13.95,receive,,user9463@upi,success,dev200757,feature_phone,qr_code,0,0,,cust108084
txn10000010,jeffrey9510@upi,cust104201,21:58.0,12.03,merchant_payment,merch1035,user5433@upi,success,dev104201,tablet,intent,0,0,,cust104201
txn10000011,karen1926@upi,cust106710,10:54.8,7.54,receive,,user7367@upi,failed,dev106710,ios,app,0,0,network_error,cust106710
txn10000012,adam2499@upi,cust108255,03:33.3,17.88,bill_pay,merch1488,user3042@upi,success,dev108255,tablet,qr_code,0,0,,cust108255
txn10000013,joshua9087@upi,cust104017,09:41.4,41.57,send,,user3332@upi,failed,dev104017,feature_phone,intent,0,1,incorrect_pin,cust104017
txn10000014,angel2795@upi,cust108920,49:59.9,12.38,merchant_payment,merch1104,user3678@upi,success,dev201752,feature_phone,intent,0,0,,cust108920
txn10000015,justin9493@upi,cust109657,17:41.0,32.62,receive,,user2990@upi,success,dev109657,tablet,qr_code,0,0,,cust109657
txn10000016,angela8155@upi,cust107334,10:52.5,24.83,receive,,user6925@upi,success,dev107334,android,qr_code,0,0,,cust107334
txn10000017,casey9434@upi,cust107127,33:32.7,12.49,send,,user9015@upi,success,dev107127,feature_phone,intent,0,0,,cust107127
txn10000018,william1809@upi,cust107688,49:23.1,133.83,receive,,user7588@upi,success,dev107688,android,qr_code,0,0,,cust107688
txn10000019,james2860@upi,cust107713,39:41.3,40.74,receive,,user9681@upi,success,dev107713,android,intent,0,0,,cust107713
txn10000020,tommy5467@upi,cust106600,29:49.7,17.28,send,,user5235@upi,success,dev106600,tablet,app,0,0,,cust106600
txn10000021,justin9329@upi,cust102416,07:16.3,28.74,send,,user7110@upi,success,dev102416,android,intent,0,0,,cust102416
txn10000022,joan6986@upi,cust107933,45:37.1,172.12,receive,,user2548@upi,failed,dev107933,android,app,1,0,incorrect_pin,cust107933
txn10000023,shawn9424@upi,cust102345,24:44.2,29.79,receive,,user3226@upi,success,dev102345,android,intent,0,0,,cust102345
txn10000024,mary3723@upi,cust104083,54:33.8,34.99,receive,,user8425@upi,success,dev104083,tablet,intent,0,0,,cust104083
txn10000025,laurie8534@upi,cust100289,02:57.1,10,receive,,user7309@upi,success,dev100289,ios,qr_code,0,0,,cust100289
txn10000026,ryan5159@upi,cust106149,36:07.0,13.79,receive,,user4650@upi,success,dev106149,ios,qr_code,0,0,,cust106149
txn10000027,jonathan9878@upi,cust108539,36:52.2,62.5,receive,,user8212@upi,success,dev108539,tablet,qr_code,0,0,,cust108539
txn10000028,elizabeth2586@upi,cust101429,44:51.6,14.09,receive,,user2607@upi,success,dev101429,ios,app,0,0,,cust101429
